brand,vehiclemodel,manufacturingyear,type,rating,color,duty,fuel,cylindercount,type_of_gear,capacity,turbo,odometer,airbags,price
ssangyong,rexton.,2013.0,jeep,3.0,jet black,1099.0,diesel,14.0,auto,2.7,no,151949.0,4.0,24029.0
toyota,camry hybrid,2013.0,sedan,2.0,sapphire blue,779.0,hybrid,4.0,auto,2.5,no,119000.0,12.0,24775.0
nissan,pathfinder.,2006.0,jeep,6.0,metallic,1829.0,diesel,4.0,manual,2.5,yes,160000.0,8.0,21326.0
toyota,highlander,2008.0,jeep,6.0,pearl white,1750.0,hybrid,6.0,auto,3.3,no,334414.0,12.0,12544.0
kia,optima,2017.0,sedan,4.0,pearl white,870.0,diesel,4.0,auto,1.7,no,30098.0,4.0,39044.0
mercedes-benz,e 220,1998.0,sedan,1.0,sapphire blue,1408.0,diesel,4.0,manual,2.2,no,0.0,4.0,8781.0
subaru,outback.,2018.0,hatchback,5.0,metallic,1327.0,gas,4.0,auto,2.5,no,0.0,12.0,1882.0
kia,optima hybid,2013.0,sedan,4.0,other,1783.0,hybrid,16.0,auto,2.4,no,105000.0,6.0,20385.0
toyota,camry.,2014.0,sedan,3.0,other,777.0,hybrid,0.0,auto,2.5,no,92.0,10.0,25402.0
mercedes-benz,vito,2001.0,minivan,3.0,crimson,925.0,diesel,4.0,manual,2.2,yes,380000.0,2.0,10032.0
bmw,335,2010.0,sedan,1.0,pearl white,919.0,gas,6.0,auto,3,no,82990.0,6.0,23521.0
ssangyong,korando,2012.0,jeep,2.0,pearl white,707.0,diesel,14.0,auto,2,no,85600.0,4.0,24415.0
toyota,prius,2012.0,hatchback,3.0,pearl white,586.0,hybrid,4.0,auto,1.8,no,181000.0,12.0,19757.0
hyundai,sonata,2015.0,sedan,3.0,tangerine,9235.0,gas,4.0,auto,2,no,571115.0,4.0,12471.0
toyota,prius,2006.0,hatchback,1.0,crimson,586.0,hybrid,4.0,auto,1.5,no,174000.0,6.0,11604.0
toyota,aqua,2015.0,hatchback,2.0,other,595.0,gas,4.0,auto,1.5,no,29000.0,4.0,33494.0
opel,vectra,1997.0,sedan,3.0,sand,1596.0,gas,4.0,manual,1.6,no,15000.0,2.0,4547.0
ssangyong,rexton,2013.0,jeep,4.0,other,2980.0,diesel,4.0,auto,2,no,126116.0,4.0,36808.0
bmw,328,2012.0,sedan,3.0,charcoal,3141.0,gas,6.0,auto,0,no,120000.0,8.0,23521.0
bmw,x5,2011.0,jeep,2.0,jet black,1018.0,gas,16.0,auto,0,no,155200.0,12.0,36065.0
toyota,camry,2014.0,sedan,2.0,other,10394.0,hybrid,4.0,auto,2.5,no,109798.0,12.0,5488.0
toyota,prius,2010.0,sedan,3.0,charcoal,684.0,hybrid,4.0,auto,1.8,no,80000.0,12.0,31361.0
hyundai,sonata,2014.0,sedan,6.0,metallic,639.0,gas,4.0,auto,2,no,347600.0,4.0,10036.0
toyota,highlander,2013.0,jeep,5.0,jet black,8945.0,gas,0.0,auto,0,no,125.0,12.0,4861.0
toyota,corolla,2012.0,sedan,8.0,charcoal,586.0,gas,4.0,auto,1.8,no,74000.0,12.0,18189.0
hyundai,elantra.,2011.0,sedan,7.0,jet black,583.0,gas,14.0,auto,1.6,no,115934.0,4.0,20005.0
toyota,highlander.,2008.0,jeep,3.0,pearl white,1750.0,hybrid,6.0,auto,3.3,no,334414.0,12.0,12544.0
toyota,prius,2006.0,sedan,4.0,sapphire blue,586.0,hybrid,4.0,auto,1.5,no,300000.0,6.0,11116.0
toyota,prius,2010.0,hatchback,2.0,pearl white,761.0,hybrid,4.0,auto,1.8,no,73402.0,12.0,11116.0
toyota,prius,2007.0,hatchback,3.0,emerald green,988.0,hybrid,0.0,auto,1.5,no,0.0,8.0,10349.0
toyota,highlander,2012.0,jeep,2.0,pearl white,1058.0,hybrid,6.0,auto,3.5,no,363059.0,12.0,1490.0
toyota,prius c,2012.0,hatchback,0.0,pearl white,10503.0,hybrid,14.0,auto,1.5,no,208000.0,6.0,13485.0
subaru,forester,2003.0,jeep,2.0,emerald green,1717.0,gas,4.0,auto,0,no,155000.0,2.0,12000.0
toyota,prius,2007.0,hatchback,0.0,sapphire blue,930.0,hybrid,4.0,auto,1.5,no,180000.0,8.0,11604.0
mercedes-benz,e 350,2003.0,sedan,1.0,other,1624.0,diesel,6.0,auto,3.5,no,109139.0,12.0,3450.0
honda,fit.,2011.0,hatchback,1.0,jet black,1413.0,hybrid,4.0,auto,1.3,no,160000.0,2.0,12231.0
honda,odyssey,2011.0,minivan,4.0,charcoal,1172.0,gas,6.0,auto,3.5,no,86000.0,8.0,23207.0
mercedes-benz,gla 250,2017.0,jeep,0.0,pearl white,891.0,gas,4.0,auto,2,no,109555.0,0.0,8311.0
toyota,aqua,2012.0,universal,0.0,other,1364.0,hybrid,4.0,auto,1.5,no,52456.0,4.0,22075.0
kia,optima,2014.0,sedan,0.0,other,638.0,gas,14.0,auto,2,no,38305.0,4.0,16621.0
hyundai,h1,2014.0,minivan,5.0,other,781.0,diesel,4.0,auto,2.5,no,52600.0,4.0,17719.0
bmw,x5,2007.0,jeep,0.0,jet black,917.0,diesel,18.0,auto,4.8,no,220000.0,12.0,29793.0
lexus,rx 450,2010.0,jeep,6.0,charcoal,1399.0,hybrid,6.0,auto,3.5,no,315270.0,12.0,2509.0
hyundai,tucson,2016.0,jeep,4.0,metallic,642.0,diesel,4.0,auto,2,no,132976.0,4.0,24267.0
hyundai,elantra,2020.0,sedan,3.0,jet black,1076.0,gas,14.0,auto,2,no,261.0,12.0,3293.0
toyota,camry.,2014.0,sedan,3.0,jet black,9606.0,hybrid,4.0,auto,2.5,no,398069.0,12.0,1098.0
nissan,march,2002.0,sedan,1.0,lemon yellow,773.0,gas,4.0,auto,1.2,no,0.0,2.0,5331.0
nissan,march.,2013.0,hatchback,4.0,other,419.0,gas,4.0,auto,1.2,no,59000.0,4.0,16838.0
ssangyong,actyon,2011.0,jeep,3.0,jet black,836.0,diesel,0.0,auto,2,no,217.0,4.0,16010.0
mercedes-benz,c 250,2014.0,sedan,2.0,other,3528.0,gas,4.0,auto,1.8,yes,71000.0,0.0,27911.0
opel,zafira,2005.0,minivan,1.0,metallic,1322.0,gas,4.0,manual,1.6,no,160000.0,2.0,14113.0
toyota,highlander.,2008.0,jeep,3.0,pearl white,1442.0,hybrid,6.0,auto,3.3,no,215000.0,12.0,28852.0
hyundai,elantra gt,2014.0,hatchback,5.0,charcoal,765.0,gas,4.0,auto,2,no,73335.0,8.0,17249.0
toyota,prius,2005.0,sedan,4.0,pearl white,3978.0,gas,4.0,auto,0,no,0.0,6.0,9408.0
porsche,cayenne s,2004.0,jeep,6.0,metallic,2453.0,gas,6.0,auto,0,no,165000.0,0.0,11290.0
toyota,rav 4,2017.0,jeep,0.0,other,1249.0,gas,4.0,auto,2.5,no,63000.0,12.0,43905.0
bmw,x5,2011.0,jeep,2.0,other,1018.0,diesel,0.0,auto,3,no,207.0,0.0,10036.0
hyundai,sonata,2016.0,sedan,0.0,pearl white,891.0,gas,4.0,auto,2,no,227033.0,4.0,16308.0
toyota,aqua,2013.0,hatchback,3.0,pearl white,502.0,hybrid,0.0,auto,1.5,no,105.0,4.0,16966.0
nissan,tiida,2005.0,hatchback,1.0,other,761.0,gas,4.0,auto,1.5,no,111111.0,0.0,8311.0
toyota,prius,2009.0,hatchback,6.0,charcoal,2369.0,hybrid,4.0,auto,1.8,no,148000.0,6.0,16935.0
hyundai,elantra,2019.0,sedan,4.0,other,1077.0,gas,4.0,auto,2,no,9898.0,12.0,19757.0
hyundai,sonata,2008.0,sedan,4.0,pearl white,382.0,hybrid,4.0,auto,2.4,no,11000.0,12.0,17876.0
toyota,camry.,2012.0,sedan,3.0,metallic,781.0,hybrid,4.0,auto,2.5,no,84000.0,12.0,20071.0
toyota,prius.,2008.0,hatchback,1.0,sapphire blue,843.0,hybrid,4.0,auto,1.5,no,207005.0,8.0,12544.0
mercedes-benz,c 240,2002.0,sedan,0.0,jet black,2065.0,gas,0.0,auto,2.4,no,2.0,12.0,10035.0
hyundai,tucson limited,2016.0,other,4.0,metallic,730.0,gas,4.0,auto,1.6,yes,52294.0,10.0,26186.0
hyundai,h1,2014.0,minivan,1.0,pearl white,777.0,diesel,4.0,auto,2.5,no,190000.0,4.0,28423.0
hyundai,sonata,2015.0,sedan,2.0,other,765.0,gas,14.0,auto,2,no,581040.0,4.0,9252.0
bmw,528,2013.0,sedan,3.0,pearl white,640.0,gas,4.0,auto,2.0,yes,82000.0,12.0,27598.0
chevrolet,captiva,2007.0,jeep,3.0,other,1282.0,diesel,4.0,auto,0,no,79002.0,4.0,6272.0
ssangyong,actyon,2016.0,jeep,1.0,pearl white,730.0,gas,4.0,auto,1.6,no,55234.0,4.0,40092.0
honda,elysion 3.0,2004.0,minivan,1.0,jet black,2053.0,gas,6.0,auto,3,no,219000.0,6.0,7840.0
ssangyong,actyon,2010.0,sedan,0.0,other,836.0,diesel,4.0,auto,2,no,233503.0,4.0,11807.0
hyundai,santa fe,2016.0,jeep,0.0,other,707.0,diesel,4.0,auto,2,no,143166.0,4.0,18688.0
toyota,camry,2014.0,sedan,4.0,metallic,2048.0,hybrid,4.0,auto,2.5,no,40000.0,12.0,32929.0
bmw,528,2000.0,sedan,1.0,jet black,3604.0,gas,0.0,auto,2.8,yes,0.0,6.0,9400.0
mitsubishi,delica,1996.0,minivan,0.0,emerald green,862.0,gas,14.0,auto,2.4,no,111000.0,2.0,3763.0
ford,focus,2006.0,hatchback,5.0,pearl white,642.0,gas,4.0,auto,2,no,192000.0,10.0,15681.0
nissan,note,2014.0,hatchback,2.0,other,1030.0,gas,3.0,auto,0,no,125000.0,2.0,9722.0
mercedes-benz,ml 350.,2011.0,jeep,1.0,pearl white,1172.0,diesel,6.0,auto,3.5,no,186542.0,12.0,2038.0
mercedes-benz,s 320.,2000.0,sedan,5.0,other,2065.0,gas,16.0,auto,3.2,no,200000.0,12.0,3900.0
ford,fusion,2017.0,sedan,3.0,gold,784.0,gas,4.0,auto,1.5,no,77368.0,12.0,3136.0
chevrolet,orlando,2017.0,jeep,3.0,other,831.0,diesel,4.0,auto,1.6,no,109953.0,4.0,28043.0
hyundai,tucson,2011.0,jeep,2.0,other,707.0,diesel,0.0,auto,2,no,171.0,4.0,17054.0
chevrolet,volt.,2014.0,hatchback,3.0,metallic,259.0,hybrid,4.0,auto,1.4,no,112123.0,0.0,6586.0
toyota,prius.,2005.0,hatchback,2.0,pearl white,645.0,hybrid,14.0,auto,1.8,no,145000.0,12.0,17249.0
toyota,rav 4,2015.0,jeep,1.0,pearl white,1249.0,gas,4.0,auto,2.5,no,37000.0,12.0,42337.0
hyundai,h1,2010.0,minivan,4.0,metallic,11024.0,diesel,4.0,auto,2.5,no,54963.0,4.0,18660.0
toyota,camry.,2012.0,sedan,3.0,pearl white,781.0,hybrid,4.0,auto,2.5,no,159379.0,12.0,3136.0
nissan,x-terra,2005.0,jeep,4.0,jet black,1787.0,gas,6.0,auto,0,no,118498.0,6.0,16621.0
kia,optima,2014.0,sedan,4.0,pearl white,609.0,hybrid,6.0,auto,0,no,21000.0,12.0,27911.0
chevrolet,captiva,2013.0,jeep,1.0,charcoal,640.0,diesel,4.0,auto,2,no,118103.0,4.0,24302.0
volkswagen,jetta.,2014.0,sedan,2.0,jet black,777.0,gas,5.0,auto,2.5,no,127000.0,12.0,12544.0
chevrolet,aveo.,2017.0,sedan,0.0,other,831.0,gas,4.0,auto,1.6,no,49659.0,4.0,26306.0
hyundai,h1,2014.0,minivan,3.0,metallic,915.0,diesel,4.0,auto,3,no,114142.0,4.0,31581.0
hyundai,santa fe,2016.0,jeep,2.0,other,891.0,diesel,4.0,auto,2,no,116365.0,4.0,43128.0
ford,transit,2007.0,goods wagon,4.0,pearl white,4640.0,diesel,4.0,manual,2.2,yes,147000.0,4.0,34184.0
bmw,x5,2011.0,jeep,1.0,pearl white,1481.0,diesel,16.0,auto,3,no,98726.0,12.0,14269.0
nissan,juke,2017.0,jeep,4.0,jet black,831.0,gas,0.0,auto,1.6,yes,54.0,10.0,23207.0
hyundai,tucson,2010.0,jeep,4.0,other,836.0,diesel,4.0,auto,2,no,221000.0,4.0,23138.0
mercedes-benz,gle 63 amg,2016.0,jeep,3.0,jet black,2297.0,gas,0.0,auto,5.5,no,17.0,0.0,6272.0
hyundai,sonata,2015.0,sedan,2.0,pearl white,765.0,gas,4.0,auto,2,no,311337.0,4.0,10976.0
kia,sorento,2004.0,jeep,2.0,jet black,3772.0,diesel,4.0,manual,2.4,no,0.0,8.0,10976.0
mercedes-benz,e 350,2010.0,sedan,2.0,sapphire blue,1172.0,diesel,6.0,auto,3.5,no,64496.0,12.0,9013.0
other,prius s,2010.0,hatchback,2.0,other,1632.0,hybrid,4.0,auto,0,no,164000.0,6.0,17092.0
bmw,520,1996.0,sedan,0.0,emerald green,1822.0,diesel,6.0,manual,2,no,278000.0,10.0,5645.0
toyota,prius 3,2012.0,other,8.0,other,586.0,hybrid,4.0,auto,1.8,no,132451.0,8.0,14113.0
hyundai,elantra,2011.0,sedan,3.0,chocolate,810.0,gas,4.0,auto,1.8,no,133437.0,12.0,2038.0
toyota,prius v,2012.0,hatchback,1.0,other,585.0,hybrid,4.0,auto,1.8,no,178314.0,12.0,3607.0
hyundai,elantra,2014.0,sedan,1.0,gold,584.0,gas,4.0,auto,1.8,no,176000.0,6.0,14113.0
other,juke juke,2010.0,jeep,5.0,charcoal,1632.0,gas,4.0,auto,1.6,yes,162309.0,6.0,19444.0
kia,optima.,2016.0,sedan,1.0,metallic,739.0,gas,14.0,auto,2,no,43618.0,4.0,16004.0
hyundai,santa fe,2016.0,jeep,0.0,jet black,891.0,diesel,4.0,auto,2,no,194067.0,4.0,37633.0
opel,astra.,1994.0,hatchback,0.0,other,792.0,diesel,4.0,manual,2.0,yes,215000.0,4.0,7840.0
gmc,yukon,2019.0,sedan,2.0,other,3156.0,gas,8.0,auto,6.2,no,11325.0,12.0,35752.0
hyundai,elantra,2016.0,sedan,3.0,metallic,730.0,gas,4.0,auto,1.6,no,74909.0,4.0,27504.0
lexus,ls 460,2009.0,sedan,5.0,metallic,2108.0,gas,14.0,auto,4.6,no,217614.0,4.0,21608.0
toyota,prius,2008.0,hatchback,1.0,gold,843.0,hybrid,4.0,auto,1.5,no,204000.0,8.0,7840.0
bmw,x5,2012.0,jeep,1.0,jet black,1018.0,diesel,6.0,auto,3,no,332243.0,0.0,10349.0
mitsubishi,airtrek,1996.0,universal,2.0,charcoal,862.0,gas,4.0,auto,2,no,136000.0,2.0,8154.0
hyundai,sonata.,2015.0,sedan,0.0,other,765.0,hybrid,4.0,auto,2,no,510248.0,4.0,9252.0
mitsubishi,outlander,2003.0,universal,4.0,pearl white,823.0,gas,4.0,auto,2.4,no,200000.0,0.0,10036.0
volkswagen,passat,2012.0,sedan,1.0,metallic,691.0,gas,0.0,auto,1.8,no,27.0,8.0,36110.0
bmw,320 i,2004.0,sedan,5.0,other,1822.0,gas,8.0,auto,2.2,no,118000.0,5.0,10036.0
toyota,camry,2014.0,sedan,3.0,pearl white,777.0,gas,4.0,auto,2.5,no,219150.0,12.0,12858.0
nissan,tiida axis,2006.0,hatchback,2.0,jet black,1787.0,gas,14.0,auto,1.5,no,139000.0,6.0,8467.0
chevrolet,niva,2007.0,jeep,2.0,jet black,1391.0,gas,4.0,manual,1.7,no,11000.0,6.0,7840.0
honda,civic.,2008.0,sedan,0.0,pearl white,584.0,gas,4.0,auto,1.8,no,80000.0,4.0,39559.0
lexus,ct 200h,2011.0,hatchback,1.0,metallic,9355.0,hybrid,4.0,auto,1.8,no,224267.0,0.0,3293.0
kia,picanto,2015.0,sedan,0.0,other,425.0,gas,3.0,manual,1,no,22831.0,4.0,17249.0
honda,civic,2016.0,sedan,5.0,other,2557.0,hybrid,4.0,auto,1.3,no,2432000.0,4.0,13172.0
hyundai,elantra,2010.0,sedan,3.0,other,730.0,gas,4.0,auto,1.6,no,72507.0,4.0,20071.0
kia,picanto,2017.0,sedan,2.0,other,475.0,gas,4.0,manual,1.2,no,94000.0,1.0,15524.0
toyota,prius.,2013.0,hatchback,5.0,sapphire blue,585.0,hybrid,4.0,auto,1.8,no,134720.0,6.0,20385.0
bmw,318,1995.0,sedan,1.0,jet black,1529.0,gas,6.0,manual,2,no,0.0,0.0,2509.0
toyota,chr,2012.0,jeep,2.0,jet black,1079.0,gas,4.0,auto,2,no,9280.0,12.0,42337.0
mazda,616,2018.0,jeep,2.0,charcoal,1327.0,gas,4.0,auto,2.5,no,21328.0,12.0,6586.0
hyundai,h1,2014.0,minivan,3.0,charcoal,777.0,diesel,4.0,auto,2.5,no,122614.0,4.0,32979.0
hyundai,tucson,2005.0,jeep,0.0,other,707.0,diesel,4.0,manual,2.0,yes,200000.0,0.0,10663.0
ford,transit.,2007.0,goods wagon,3.0,pearl white,1673.0,diesel,14.0,manual,2.0,yes,170000.0,4.0,9252.0
hyundai,tucson,2014.0,jeep,1.0,other,639.0,diesel,4.0,auto,2,no,153935.0,4.0,29586.0
bmw,x5,2012.0,jeep,2.0,jet black,2046.0,diesel,6.0,auto,3.0,yes,220000.0,6.0,42337.0
lexus,gx 460.,2010.0,jeep,0.0,other,1811.0,gas,8.0,auto,4.6,no,155821.0,12.0,26030.0
honda,fit,2011.0,hatchback,6.0,pearl white,2583.0,hybrid,4.0,auto,1.3,no,121000.0,4.0,11917.0
toyota,aqua,2012.0,hatchback,3.0,other,502.0,gas,4.0,auto,1.5,no,73938.0,4.0,16966.0
hyundai,elantra,2012.0,sedan,2.0,charcoal,531.0,gas,4.0,auto,1.6,no,79911.0,4.0,19707.0
jeep,compass,2004.0,jeep,2.0,emerald green,986.0,gas,4.0,auto,2.4,no,81256.0,4.0,23917.0
mercedes-benz,sprinter 316 cdi.,2013.0,microbus,2.0,other,2065.0,diesel,4.0,auto,2.2,yes,220000.0,2.0,47042.0
ford,transit,2011.0,goods wagon,1.0,other,831.0,diesel,4.0,manual,2.4,no,117277.0,2.0,25716.0
toyota,prius,2014.0,hatchback,3.0,jet black,308.0,hybrid,4.0,auto,1.8,no,59000.0,9.0,20385.0
hyundai,elantra.,2011.0,sedan,5.0,other,583.0,gas,14.0,auto,1.6,no,175237.0,4.0,15863.0
opel,astra,2004.0,universal,2.0,pearl white,1357.0,gas,0.0,auto,1.6,no,171.0,0.0,6272.0
hyundai,veracruz,2010.0,jeep,4.0,other,1700.0,diesel,6.0,auto,3.0,yes,45000.0,14.0,24462.0
chevrolet,orlando,2012.0,jeep,1.0,charcoal,642.0,diesel,4.0,auto,0,no,152595.0,4.0,21798.0
chevrolet,volt,2011.0,sedan,1.0,jet black,521.0,hybrid,4.0,auto,1.4,no,159200.0,6.0,19444.0
hyundai,tucson,2013.0,jeep,6.0,other,640.0,diesel,4.0,auto,2,no,167157.0,4.0,27435.0
kia,optima,2013.0,sedan,1.0,other,3144.0,hybrid,4.0,auto,2.4,no,110898.0,12.0,12544.0
bmw,535.,2009.0,sedan,4.0,other,915.0,diesel,0.0,auto,3,no,98.0,12.0,13485.0
honda,cr-v,1999.0,jeep,3.0,jet black,803.0,gas,4.0,auto,2,no,275200.0,2.0,6115.0
bmw,328,2010.0,sedan,2.0,jet black,1211.0,gas,6.0,auto,3,no,190000.0,12.0,17249.0
toyota,camry.,2013.0,sedan,3.0,pearl white,779.0,hybrid,4.0,auto,2.5,no,124912.0,12.0,3763.0
toyota,prius,2012.0,sedan,7.0,charcoal,586.0,hybrid,4.0,auto,1.8,no,112000.0,6.0,18189.0
hyundai,sonata,2015.0,sedan,1.0,other,765.0,gas,4.0,auto,2,no,650556.0,4.0,12544.0
mercedes-benz,ml 350 ml350,2004.0,other,1.0,jet black,2065.0,gas,6.0,auto,0,no,238078.0,12.0,15681.0
hyundai,santa fe.,2013.0,jeep,2.0,other,640.0,diesel,4.0,auto,2,no,139488.0,4.0,39226.0
hyundai,sonata,2016.0,sedan,7.0,jet black,1051.0,gas,4.0,auto,0,no,72000.0,12.0,20385.0
hyundai,elantra gt,2014.0,hatchback,4.0,other,10765.0,gas,6.0,auto,2,no,65566.0,6.0,14426.0
toyota,prius.,2010.0,hatchback,1.0,pearl white,761.0,hybrid,0.0,auto,1.8,no,258.0,12.0,1803.0
bmw,x5,2003.0,jeep,2.0,other,1770.0,gas,6.0,auto,0,no,206000.0,2.0,12544.0
hyundai,santa fe,2016.0,jeep,3.0,charcoal,707.0,diesel,4.0,auto,2,no,75991.0,4.0,13642.0
hyundai,h1,2011.0,minivan,2.0,lemon yellow,862.0,diesel,0.0,auto,2.5,no,124.0,4.0,22894.0
toyota,prius,2010.0,sedan,2.0,metallic,463.0,hybrid,4.0,auto,1.8,no,44114.0,12.0,9408.0
hyundai,tucson,2012.0,jeep,0.0,charcoal,711.0,gas,4.0,auto,2.4,no,128000.0,8.0,25089.0
lexus,ct 200h.,2011.0,hatchback,4.0,chocolate,586.0,hybrid,4.0,auto,1.8,no,89000.0,0.0,22894.0
nissan,altima,2019.0,sedan,1.0,charcoal,11325.0,gas,4.0,auto,2.5,no,30296.0,12.0,21326.0
toyota,tacoma,2014.0,sedan,4.0,other,1190.0,gas,0.0,auto,4,no,0.0,12.0,6586.0
toyota,prius 1.5i,2009.0,sedan,6.0,other,746.0,hybrid,4.0,auto,1.5,no,127300.0,12.0,12231.0
chevrolet,cruze.,2013.0,sedan,6.0,pearl white,640.0,diesel,4.0,auto,2,no,163855.0,4.0,18519.0
hyundai,tucson,2007.0,jeep,4.0,other,640.0,gas,6.0,auto,2.7,no,199000.0,6.0,19757.0
volkswagen,sharan,1997.0,minivan,1.0,other,1325.0,diesel,4.0,manual,1.9,yes,180000.0,2.0,7165.0
subaru,outback,2003.0,jeep,4.0,other,1952.0,gas,4.0,auto,2.5,no,270000.0,12.0,9408.0
hyundai,sonata,2015.0,sedan,0.0,other,639.0,gas,4.0,auto,2,no,268046.0,4.0,10036.0
volkswagen,crafter,2009.0,microbus,4.0,sand,1185.0,gas,15.0,manual,2.5,yes,335000.0,6.0,16621.0
bmw,530,2004.0,sedan,0.0,other,1822.0,gas,6.0,auto,0,no,280000.0,8.0,14740.0
mercedes-benz,c 180,1998.0,universal,2.0,other,2065.0,gas,4.0,manual,1.8,no,333000.0,6.0,7524.0
lexus,es 300,2014.0,sedan,0.0,jet black,394.0,hybrid,4.0,auto,2.5,no,113002.0,12.0,17876.0
toyota,prius,2010.0,hatchback,5.0,jet black,353.0,hybrid,4.0,auto,1.8,no,96549.0,12.0,6272.0
ford,fiesta,2008.0,sedan,5.0,other,528.0,gas,4.0,manual,1.6,yes,152000.0,6.0,25089.0
toyota,prius,2013.0,hatchback,0.0,pearl white,585.0,hybrid,4.0,auto,1.8,no,130000.0,12.0,15367.0
toyota,prius,2010.0,hatchback,0.0,pearl white,1622.0,hybrid,4.0,auto,1.5,no,160000.0,12.0,24148.0
chevrolet,equinox,2016.0,jeep,1.0,other,2894.0,gas,4.0,auto,2.4,no,57600.0,12.0,32929.0
ford,transit,2000.0,microbus,4.0,other,3175.0,diesel,14.0,manual,2.4,yes,250000.0,1.0,13000.0
hyundai,h1,2016.0,minivan,1.0,metallic,1091.0,diesel,4.0,auto,2.5,no,119098.0,4.0,36899.0
opel,vectra,1997.0,hatchback,3.0,sapphire blue,1596.0,gas,4.0,manual,1.8,no,13425.0,4.0,4500.0
